ספק,מוצר,יחידת מידה,יעד השלמה,טלפון בוואטסאפ,יחידת הזמנה,מקדם המרה
משק הראל,עגבניות שרי,16 ליטר,2,0526969474,קילו,8
משק הראל,אשכול עגבניות,16 ליטר,2,0526969474,קילו,7
משק הראל,מלפפון,16 ליטר,2,0526969474,קילו ,9
משק הראל,בזיליקום,4 ליטר,,0526969474,קילו,1
משק הראל,רוקט,4 ליטר,,0526969474,קילו,1
משק הראל,בצל סגול מקולף,16 ליטר,,0526969474,קילו,4
משק הראל,בצל לבן מקולף,16 ליטר,,0526969474,קילו,4
משק הראל,פלפל ירוק חריף,4 ליטר,,0526969474,קילו,1
משק הראל,חסה קיסר,שקית,8,0526969474,יחידות,1
משק הראל,לימון,16 ליטר,,0526969474,קילו,4
משק הראל,טימין,יחידה,,0526969474,נספק,1
משק הראל,רוזמרין,יחידה,,0526969474,נספק,1
משק הראל,נענע,4 ליטר,,0526969474,נספק,1
משק הראל,"פטריות א""ת",16 ליטר,,0526969474,קילו,3
משק הראל,פטריות פורטבלו,16 ליטר,,0526969474,קילו,5
משק הראל,שום מקולף,"1 ק""ג",3,0526969474,קילו,1
מחלבות גד,מוצרלה מגורדת,קרטון,,0506335626,,
מחלבות גד,פרמזן,קרטון,,0506335626,,
מחלבות גד,בולגרית בלקנית 16%,אריזה,,0506335626,,
מחלבות גד,לבאנה,שקית,,0506335626,,
מחלבות גד,אלפרדו,גלון,,0506335626,,
מחלבות גד,מוצרלה פרסקה,אריזה,,0506335626,,
מחלבות גד,חלב 3%,יחידה,,0506335626,,
מחלבות גד,בוראטה,יחידה,,0506335626,,
יאיר רוזן,"גליל תעשייתי 5 ק""ג",יחידה,,0505444488,,
יאיר רוזן,נוזל להברקת חלונות שפריצר כחול,יחידה,,0505444488,,
יאיר רוזן,כוס חד פעמי,שרוולים,,0505444488,,
יאיר רוזן,אקונומיקה,גלון,,0505444488,,
יאיר רוזן,שקיות אשפה אשפתון 75\9,גליל,,0505444488,,
יאיר רוזן,כרית יפנית,אריזה,,0505444488,,
יאיר רוזן,מפיות 1,אריזה,,0505444488,,
יאיר רוזן,ממרקות ברזל 50 גרם,אריזה,,0505444488,,
יאיר רוזן,כפפות ניטריל שחורות,קרטון,,0505444488,,
יאיר רוזן,קיסמים עטיפה שחורה,קרטון,,0505444488,,
יאיר רוזן,סבון קצף 1 ליטר למתקן,יחידה,,0505444488,,
יאיר רוזן,שקיות גופיה צבעוני,יחידה,,0505444488,,
יאיר רוזן,מטליות לניקוי כללי שק,קומה,,0505444488,,
יאיר רוזן,מילוי מטליות לחות לניקוי,יחידה,,0505444488,,
יאיר רוזן,מסיר שומן סנץ מוריץ מתז,יחידה,,0505444488,,
יאיר רוזן,שקיות ניילון שקילה 18/2,יחידה,,0505444488,,
יאיר רוזן,קש שחור מתקפל,יחידה,,0505444488,,
יאיר רוזן,קראפט 1100,קרטון,,0505444488,,
יאיר רוזן,מכסה לקראפט חם,קרטון,,0505444488,,
יאיר רוזן,סחבת רצפה שלג,אריזה,,0505444488,,
יאיר רוזן,גלילי נייר טואלט לשירותים,יחידה,,0505444488,,
יאיר רוזן,סבון כלים,יחידה,,0505444488,,
יאיר רוזן,מגבון לח אישי,קרטון,,0505444488,,
יאיר רוזן,מלח גבישי 25 קילו,יחידה,,0505444488,,
יאיר רוזן,"סט סכו""ם",קרטון,,0505444488,,
יאיר רוזן,נייר ניגוב ידיים איירפלקס 1760,יחידה,,0505444488,,
יאיר רוזן,שקית נייר עטיפה חומה,קרטון,,0505444488,,
יאיר רוזן,"גביע + מכסה מחובר 30 סמ""ק",קרטון,,0505444488,,
יאיר רוזן,"גביע + מכסה מחובר 50 סמ""ק",קרטון,,0505444488,,
יאיר רוזן,שולחן הגבהה לקרטון פיצה,קרטון,,0505444488,,
יאיר רוזן,שמפו רצפות ריחני,יחידה,,0505444488,,
יאיר רוזן,פס קרטון לפיצה,יחידה,,0505444488,,
יאיר רוזן,נייר פרגמנט חום 30/40,יחידה,,0505444488,,
יאיר רוזן,גביע פלסטיק עגול 250 סרט + מכסה,יחידה,,0505444488,,
יאיר רוזן,שקית נייר פיצטה,קרטון,,0505444488,,
יאיר רוזן,קרטון פיצה קטן,אריזה,,0505444488,,
יאיר רוזן,קרטון פיצה גדול,אריזה,,0505444488,,
י. שבי,תבליני מנות פיצה טעם וריח,קרטון,,0506389386,,
י. שבי,שמן זית,גלון,,0506389386,,
י. שבי,זית פרוס ירוק מוטולה,פחית,,0506389386,,
י. שבי,תירס,פחית,,0506389386,,
י. שבי,קלמטה,פחית,,0506389386,,
י. שבי,יין לבן לבישול,יחידה,,0506389386,,
י. שבי,מלח שולחן,יחידה,,0506389386,,
י. שבי,נוטלה,יחידה,,0506389386,,
י. שבי,אננס,יחידה,,0506389386,,
י. שבי,שמן קנולה,יחידה,,0506389386,,
י. שבי,קמח לבן,יחידה,,0506389386,,
י. שבי,שמרים יבשים,יחידה,,0506389386,,
י. שבי,אנשובי ,יחידה,,0506389386,,
י. שבי,חרדל דיז'ון,יחידה,,0506389386,,
י. שבי,צלפים,יחידה,,0506389386,,
י. שבי,פלפל שאטה גרוס,שקית,,0506389386,,
י. שבי,פלפל שחור גרוס,שקית,,0506389386,,
י. שבי,שוקולית עלית,שקית,,0506389386,,
י. שבי,טבסקו,יחידה,,0506389386,,
י. שבי,אבקת סוכר,שקית,,0506389386,,
י. שבי,טונה,פחית,,0506389386,,
עלה עלה,בייבי רוקולה,4 ליטר,,orders@aleh-aleh.com,,
עלה עלה,לבבות חסה,שקית,,orders@aleh-aleh.com,,
עלה עלה,בזיליקום,4 ליטר,,orders@aleh-aleh.com,,
עלה עלה,עירית,יחידה,,orders@aleh-aleh.com,,
עלה עלה,טימין,יחידה,,orders@aleh-aleh.com,,
עלה עלה,רוזמרין,יחידה,,orders@aleh-aleh.com,,
עלה עלה,נענע,4 ליטר,,orders@aleh-aleh.com,,
ריסטרטו,קמח מימוסה,שקית,,אפליקציה,,
ריסטרטו,קמח ניוקי,שקית,,אפליקציה,,
ריסטרטו,רגטוני,קרטון,,אפליקציה,,
ריסטרטו,פנה ללא גלוטן,קופסא,,אפליקציה,,
ריסטרטו,רבעי ארטישוק בגריל,פחית,,אפליקציה,,
ריסטרטו,פומודורינה,קרטון,,אפליקציה,,
